Timestamp,Motion,Device
1610182684,0,c0:98:e5:42:01:03
1610182685,1,c0:98:e5:42:01:03
1610182693,0,c0:98:e5:42:01:03
1610182717,1,c0:98:e5:42:01:03
1610182723,0,c0:98:e5:42:01:03
1610182784,1,c0:98:e5:42:01:03
1610182786,0,c0:98:e5:42:01:03
1610182824,1,c0:98:e5:42:01:03
1610182829,0,c0:98:e5:42:01:03
1610182832,1,c0:98:e5:42:01:03
1610182842,0,c0:98:e5:42:01:03
1610182845,1,c0:98:e5:42:01:03
1610182854,0,c0:98:e5:42:01:03
1610182855,1,c0:98:e5:42:01:03
1610182861,0,c0:98:e5:42:01:03
1610182862,1,c0:98:e5:42:01:03
1610182868,0,c0:98:e5:42:01:03
1610182872,1,c0:98:e5:42:01:03
1610182876,0,c0:98:e5:42:01:03
1610182883,1,c0:98:e5:42:01:03
1610182889,0,c0:98:e5:42:01:03
1610182896,1,c0:98:e5:42:01:03
1610182899,0,c0:98:e5:42:01:03
1610182914,1,c0:98:e5:42:01:03
1610182924,0,c0:98:e5:42:01:03
1610182942,1,c0:98:e5:42:01:03
1610182952,0,c0:98:e5:42:01:03
1610182956,1,c0:98:e5:42:01:03
1610182964,0,c0:98:e5:42:01:03
1610182965,1,c0:98:e5:42:01:03
1610182970,0,c0:98:e5:42:01:03
1610182971,1,c0:98:e5:42:01:03
1610182979,0,c0:98:e5:42:01:03
1610182980,1,c0:98:e5:42:01:03
1610182984,0,c0:98:e5:42:01:03
1610182995,1,c0:98:e5:42:01:03
1610183000,0,c0:98:e5:42:01:03
1610183021,1,c0:98:e5:42:01:03
1610183031,0,c0:98:e5:42:01:03
1610183034,1,c0:98:e5:42:01:03
1610183040,0,c0:98:e5:42:01:03
1610183066,1,c0:98:e5:42:01:03
1610183073,0,c0:98:e5:42:01:03
1610183079,1,c0:98:e5:42:01:03
1610183083,0,c0:98:e5:42:01:03
1610183140,1,c0:98:e5:42:01:03
1610183148,0,c0:98:e5:42:01:03
1610183150,1,c0:98:e5:42:01:03
1610183156,0,c0:98:e5:42:01:03
1610183157,1,c0:98:e5:42:01:03
1610183161,0,c0:98:e5:42:01:03
1610183162,1,c0:98:e5:42:01:03
1610183169,0,c0:98:e5:42:01:03
1610183171,1,c0:98:e5:42:01:03
1610183199,0,c0:98:e5:42:01:03
1610183206,1,c0:98:e5:42:01:03
1610183217,0,c0:98:e5:42:01:03
1610183218,1,c0:98:e5:42:01:03
1610183231,0,c0:98:e5:42:01:03
1610183233,1,c0:98:e5:42:01:03
1610183240,0,c0:98:e5:42:01:03
1610183246,1,c0:98:e5:42:01:03
1610183263,0,c0:98:e5:42:01:03
1610183267,1,c0:98:e5:42:01:03
1610183276,0,c0:98:e5:42:01:03
1610183276,1,c0:98:e5:42:01:03
1610183280,0,c0:98:e5:42:01:03
1610183309,1,c0:98:e5:42:01:03
1610183313,0,c0:98:e5:42:01:03
1610183315,1,c0:98:e5:42:01:03
1610183321,0,c0:98:e5:42:01:03
1610183322,1,c0:98:e5:42:01:03
1610183328,0,c0:98:e5:42:01:03
1610183334,1,c0:98:e5:42:01:03
1610183337,0,c0:98:e5:42:01:03
1610183340,1,c0:98:e5:42:01:03
1610183353,0,c0:98:e5:42:01:03
1610183357,1,c0:98:e5:42:01:03
1610183363,0,c0:98:e5:42:01:03
1610183384,1,c0:98:e5:42:01:03
1610183388,0,c0:98:e5:42:01:03
1610183393,1,c0:98:e5:42:01:03
